tʰi˩˥	tʰ i ˩˥  
ɖɯ˧po˩po˩	ɖ ɯ ˧ p o ˩ p o ˩  
ɖɯ˧pv̩˧ɻ̍˩kʰɯ˩	ɖ ɯ ˧ p v̩ ˧ ɻ̍ ˩ kʰ ɯ ˩  
ɖɯ˧pʰo˧bi˥ɳɯ˩	ɖ ɯ ˧ pʰ o ˧ b i ˥ ɳ ɯ ˩  
ɖɯ˧pʰo˧ɖɯ˥pʰo˩hĩ˩dʑo˩	ɖ ɯ ˧ pʰ o ˧ ɖ ɯ ˥ pʰ o ˩ h ĩ ˩ dʑ o ˩  
ɖɯ˧pʰv̩˧˥	ɖ ɯ ˧ pʰ v̩ ˧˥  
ɖɯ˧pʰæ˧lɑ˥	ɖ ɯ ˧ pʰ æ ˧ l ɑ ˥  
ɖɯ˧pʰæ˧qo˥	ɖ ɯ ˧ pʰ æ ˧ q o ˥  
ɖɯ˧pʰæ˧ɖɯ˥pʰæ˩	ɖ ɯ ˧ pʰ æ ˧ ɖ ɯ ˥ pʰ æ ˩  
ɖɯ˧qo˥lv̩˩ɖɯ˩qo˩lv̩˩	ɖ ɯ ˧ q o ˥ l v̩ ˩ ɖ ɯ ˩ q o ˩ l v̩ ˩  
ɖɯ˧qo˩ho˩	ɖ ɯ ˧ q o ˩ h o ˩  
ɖɯ˧qwælɑ˥ɻ̍˩kv̩˩mæ˩	ɖ ɯ ˧ q wæ l ɑ ˥ ɻ̍ ˩ k v̩ ˩ m æ ˩  
ɖɯ˧qwæ˧ɻ̍˧kv̩˥	ɖ ɯ ˧ q wæ ˧ ɻ̍ ˧ k v̩ ˥  
ɖɯ˧qæ˧qæ˧ɻ̍˥	ɖ ɯ ˧ q æ ˧ q æ ˧ ɻ̍ ˥  
ɖɯ˧qɑ˧qɑ˥bi˩	ɖ ɯ ˧ q ɑ ˧ q ɑ ˥ b i ˩  
ɖɯ˧qɑ˧ɻ̍˧	ɖ ɯ ˧ q ɑ ˧ ɻ̍ ˧  
ɖɯ˧qɑ˩	ɖ ɯ ˧ q ɑ ˩  
ɖɯ˧qʰv̩˧tʰv̩˧	ɖ ɯ ˧ qʰ v̩ ˧ tʰ v̩ ˧  
ɖɯ˧qʰwɤ˧hĩ˥	ɖ ɯ ˧ qʰ wɤ ˧ h ĩ ˥  
ɖɯ˧qʰwɤ˧tʰv̩˧	ɖ ɯ ˧ qʰ wɤ ˧ tʰ v̩ ˧  
ɖɯ˧qʰwɤ˧ɖɯ˥qʰwɤ˩ʈʂʰɯ˩	ɖ ɯ ˧ qʰ wɤ ˧ ɖ ɯ ˥ qʰ wɤ ˩ ʈʂʰ ɯ ˩  
ɖɯ˧qʰwɤ˧ɳɯ˥	ɖ ɯ ˧ qʰ wɤ ˧ ɳ ɯ ˥  
ɖɯ˧qʰwɤ˧ɻ̍˩kv̩˩tsɯ˩	ɖ ɯ ˧ qʰ wɤ ˧ ɻ̍ ˩ k v̩ ˩ ts ɯ ˩  
ɖɯ˧so˩ɻ̍˩	ɖ ɯ ˧ s o ˩ ɻ̍ ˩  
ɖɯ˧ti˧	ɖ ɯ ˧ t i ˧  
ɖɯ˧ti˧ɖɯ˥ti˩	ɖ ɯ ˧ t i ˧ ɖ ɯ ˥ t i ˩  
ɖɯ˧tso˧kʰwɤ˧	ɖ ɯ ˧ ts o ˧ kʰ wɤ ˧  
ɖɯ˧tsɑ˧˥	ɖ ɯ ˧ ts ɑ ˧˥  
ɖɯ˧tsɯ˧˥	ɖ ɯ ˧ ts ɯ ˧˥  
ɖɯ˧tsʰi˥ɖɯ˩tsʰi˩hĩ˩tʰv̩˩	ɖ ɯ ˧ tsʰ i ˥ ɖ ɯ ˩ tsʰ i ˩ h ĩ ˩ tʰ v̩ ˩  
ɖɯ˧tsʰi˥ɳɯ˩	ɖ ɯ ˧ tsʰ i ˥ ɳ ɯ ˩  
ɖɯ˧tv̩˧kʰv̩˧˥	ɖ ɯ ˧ t v̩ ˧ kʰ v̩ ˧˥  
ɖɯ˧tɑ˩ɖɯ˩tɑ˩	ɖ ɯ ˧ t ɑ ˩ ɖ ɯ ˩ t ɑ ˩  
ɖɯ˧tɕi˧tɕi˧	ɖ ɯ ˧ tɕ i ˧ tɕ i ˧  
ɖɯ˧tɕɯ˧	ɖ ɯ ˧ tɕ ɯ ˧  
ɖɯ˧tɕɯ˧ɻ˧bi˥	ɖ ɯ ˧ tɕ ɯ ˧ ɻ ˧ b i ˥  
ɖɯ˧tɕɯ˧ɻ̍˥	ɖ ɯ ˧ tɕ ɯ ˧ ɻ̍ ˥  
ɖɯ˧tɕɯ˧˥	ɖ ɯ ˧ tɕ ɯ ˧˥  
ɖɯ˧tɕʰi˧qɑ˩ɻ̍˩	ɖ ɯ ˧ tɕʰ i ˧ q ɑ ˩ ɻ̍ ˩  
ɖɯ˧tʰv̩˩	ɖ ɯ ˧ tʰ v̩ ˩  
ɖɯ˧v̩˧dʑo˩	ɖ ɯ ˧ v̩ ˧ dʑ o ˩  
ɖɯ˧v̩˧gi˧ɳɯ˥	ɖ ɯ ˧ v̩ ˧ g i ˧ ɳ ɯ ˥  
ɖɯ˧v̩˧hĩ˧se˥	ɖ ɯ ˧ v̩ ˧ h ĩ ˧ s e ˥  
ɖɯ˧v̩˧hĩ˧ʈʂʰɯ˥dʑo˩	ɖ ɯ ˧ v̩ ˧ h ĩ ˧ ʈʂʰ ɯ ˥ dʑ o ˩  
ɖɯ˧v̩˧hĩ˧ʈʂʰɯ˧	ɖ ɯ ˧ v̩ ˧ h ĩ ˧ ʈʂʰ ɯ ˧  
ɖɯ˧v̩˧hĩ˧ʈʂʰɯ˧ɳɯ˩	ɖ ɯ ˧ v̩ ˧ h ĩ ˧ ʈʂʰ ɯ ˧ ɳ ɯ ˩  
ɖɯ˧v̩˧ki˥	ɖ ɯ ˧ v̩ ˧ k i ˥  
ɖɯ˧v̩˧pʰæ˧di˧zo˩	ɖ ɯ ˧ v̩ ˧ pʰ æ ˧ d i ˧ z o ˩  
ɖɯ˧v̩˧ɖɯ˧v̩˧dʑo˧	ɖ ɯ ˧ v̩ ˧ ɖ ɯ ˧ v̩ ˧ dʑ o ˧  
ɖɯ˧v̩˧ɖɯ˧v̩˧ki˧ni˧˥	ɖ ɯ ˧ v̩ ˧ ɖ ɯ ˧ v̩ ˧ k i ˧ n i ˧˥  
ɖɯ˧v̩˧ɖɯ˧v̩˧ʈʂʰɯ˧	ɖ ɯ ˧ v̩ ˧ ɖ ɯ ˧ v̩ ˧ ʈʂʰ ɯ ˧  
ɖɯ˧v̩˧ɳɯ˧dʑo˥	ɖ ɯ ˧ v̩ ˧ ɳ ɯ ˧ dʑ o ˥  
ɖɯ˧v̩˧ɳɯ˧ʈʂʰɯ˧	ɖ ɯ ˧ v̩ ˧ ɳ ɯ ˧ ʈʂʰ ɯ ˧  
ɖɯ˧v̩˧ʈʂʰɯ˧	ɖ ɯ ˧ v̩ ˧ ʈʂʰ ɯ ˧  
ɖɯ˧v̩˧ʈʂʰɯ˧ɳɯ˩	ɖ ɯ ˧ v̩ ˧ ʈʂʰ ɯ ˧ ɳ ɯ ˩  
ɖɯ˧wɤ˩	ɖ ɯ ˧ wɤ ˩  
ɖɯ˧ze˥	ɖ ɯ ˧ z e ˥  
ɖɯ˧zɯ˧ɖɯ˧ʈʂʰæ˧˥	ɖ ɯ ˧ z ɯ ˧ ɖ ɯ ˧ ʈʂʰ æ ˧˥  
ɖɯ˧ɕi˧kʰv̩˧	ɖ ɯ ˧ ɕ i ˧ kʰ v̩ ˧  
ɖɯ˧ɕi˧kʰv̩˧˥	ɖ ɯ ˧ ɕ i ˧ kʰ v̩ ˧˥  
ɖɯ˧ɖʐɯ˥kʰɤ˩	ɖ ɯ ˧ ɖʐ ɯ ˥ kʰ ɤ ˩  
ɖɯ˧ɬi˧bv̩˧	ɖ ɯ ˧ ɬ i ˧ b v̩ ˧  
ɖɯ˧ɬi˧mi˧qo˧	ɖ ɯ ˧ ɬ i ˧ m i ˧ q o ˧  
ɖɯ˧ɬi˧mi˧qo˧ɳɯ˧	ɖ ɯ ˧ ɬ i ˧ m i ˧ q o ˧ ɳ ɯ ˧  
ɖɯ˧ɬi˧qo˧	ɖ ɯ ˧ ɬ i ˧ q o ˧  
ɖɯ˧ɬi˧ɖʐɯ˩bi˩	ɖ ɯ ˧ ɬ i ˧ ɖʐ ɯ ˩ b i ˩  
ɖɯ˧ɭ	ɖ ɯ ˧ ɭ  
ɖɯ˧ɭɯ˧hĩ˧ʈʂʰɯ˧dʑo˩	ɖ ɯ ˧ ɭ ɯ ˧ h ĩ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
ɖɯ˧ɭɯ˧kʰwɤ˥sɯ˩	ɖ ɯ ˧ ɭ ɯ ˧ kʰ wɤ ˥ s ɯ ˩  
ɖɯ˧ɭɯ˧lɑ˥	ɖ ɯ ˧ ɭ ɯ ˧ l ɑ ˥  
ɖɯ˧ɭɯ˧lɑ˧	ɖ ɯ ˧ ɭ ɯ ˧ l ɑ ˧  
ɖɯ˧ɭɯ˧qo˧sɯ˧	ɖ ɯ ˧ ɭ ɯ ˧ q o ˧ s ɯ ˧  
ɖɯ˧ɭɯ˧qo˧ɳɯ˧dʑo˥	ɖ ɯ ˧ ɭ ɯ ˧ q o ˧ ɳ ɯ ˧ dʑ o ˥  
ɖɯ˧ɭɯ˧ɖɯ˧ɭɯ˧ɖɯ˧ɭɯ˧ɖɯ˧ɭɯ˧ɖɯ˧ɭɯ˧	ɖ ɯ ˧ ɭ ɯ ˧ ɖ ɯ ˧ ɭ ɯ ˧ ɖ ɯ ˧ ɭ ɯ ˧ ɖ ɯ ˧ ɭ ɯ ˧ ɖ ɯ ˧ ɭ ɯ ˧  
ɖɯ˧ɭɯ˧ɖɯ˧ɭɯ˧ʈʂʰɯ˧	ɖ ɯ ˧ ɭ ɯ ˧ ɖ ɯ ˧ ɭ ɯ ˧ ʈʂʰ ɯ ˧  
ɖɯ˧ɭɯ˧ɳɯ˧dʑo˥	ɖ ɯ ˧ ɭ ɯ ˧ ɳ ɯ ˧ dʑ o ˥  
ɖɯ˧ɭɯ˧ʈʰæ˧qo˩	ɖ ɯ ˧ ɭ ɯ ˧ ʈʰ æ ˧ q o ˩  
ɖɯ˧ɭɯ˧ʈʰæ˧qo˩tʰv̩˩dʑo˩	ɖ ɯ ˧ ɭ ɯ ˧ ʈʰ æ ˧ q o ˩ tʰ v̩ ˩ dʑ o ˩  
ɖɯ˧ɭɯ˧˥	ɖ ɯ ˧ ɭ ɯ ˧˥  
ɖɯ˧ɲi	ɖ ɯ ˧ ɲ i  
ɖɯ˧ɲi˥tsɯ˩	ɖ ɯ ˧ ɲ i ˥ ts ɯ ˩  
ɖɯ˧ɲi˥tsɯ˩mv̩˩	ɖ ɯ ˧ ɲ i ˥ ts ɯ ˩ m v̩ ˩  
ɖɯ˧ɲi˥ɳɯ˩	ɖ ɯ ˧ ɲ i ˥ ɳ ɯ ˩  
ɖɯ˧ɲi˧kv̩˧	ɖ ɯ ˧ ɲ i ˧ k v̩ ˧  
ɖɯ˧ɲi˧ʈʂʰɯ˥dʑo˩	ɖ ɯ ˧ ɲ i ˧ ʈʂʰ ɯ ˥ dʑ o ˩  
ɖɯ˧ɲi˧ʑi˩	ɖ ɯ ˧ ɲ i ˧ ʑ i ˩  
ɖɯ˧ʁ	ɖ ɯ ˧ ʁ  
ɖɯ˧ʁo˧	ɖ ɯ ˧ ʁ o ˧  
ɖɯ˧ʁo˧kwɤ˧tɕɯ˥lɑ˩	ɖ ɯ ˧ ʁ o ˧ k wɤ ˧ tɕ ɯ ˥ l ɑ ˩  
ɖɯ˧ʁo˩dʑo˩kv̩˩	ɖ ɯ ˧ ʁ o ˩ dʑ o ˩ k v̩ ˩  
ɖɯ˧ʁæ˧bæ˧	ɖ ɯ ˧ ʁ æ ˧ b æ ˧  
ɖɯ˧ʁæ˩bæ˩	ɖ ɯ ˧ ʁ æ ˩ b æ ˩  
ɖɯ˧ʂv̩˧ɻ˥lɑ˩	ɖ ɯ ˧ ʂ v̩ ˧ ɻ ˥ l ɑ ˩  
ɖɯ˧ʂwæ˧	ɖ ɯ ˧ ʂ wæ ˧  
ɖɯ˧ʂɯ˩hĩ˩	ɖ ɯ ˧ ʂ ɯ ˩ h ĩ ˩  
ɖɯ˧ʂɯ˩ɖɯ˩ʂɯ˩	ɖ ɯ ˧ ʂ ɯ ˩ ɖ ɯ ˩ ʂ ɯ ˩  
ɖɯ˧ʈv̩˧mæ˩	ɖ ɯ ˧ ʈ v̩ ˧ m æ ˩  
ɖɯ˧ʈv̩˩ɖɯ˩ʈv̩˩	ɖ ɯ ˧ ʈ v̩ ˩ ɖ ɯ ˩ ʈ v̩ ˩  
ɖɯ˧ʈʂwæ˥	ɖ ɯ ˧ ʈʂ wæ ˥  
ɖɯ˧ʈʂwɤ˧ɖɯ˧ʈʂwɤ˧	ɖ ɯ ˧ ʈʂ wɤ ˧ ɖ ɯ ˧ ʈʂ wɤ ˧  
ɖɯ˧ʈʂʰæ˧qo˥	ɖ ɯ ˧ ʈʂʰ æ ˧ q o ˥  
ɖɯ˧ʈʂʰɻ̍˧ɖɯ˥ʈʂʰɻ̍˩	ɖ ɯ ˧ ʈʂʰ ɻ̍ ˧ ɖ ɯ ˥ ʈʂʰ ɻ̍ ˩  
ɖɯ˧ʈʰɤ˥ɳɯ˩	ɖ ɯ ˧ ʈʰ ɤ ˥ ɳ ɯ ˩  
ɖɯ˧ʑi˧ɳɯ˧	ɖ ɯ ˧ ʑ i ˧ ɳ ɯ ˧  
ɖɯ˧ʑi˧ɻ̍˩	ɖ ɯ ˧ ʑ i ˧ ɻ̍ ˩  
ɖɯ˧ʑi˩hĩ˩tʰv̩˩	ɖ ɯ ˧ ʑ i ˩ h ĩ ˩ tʰ v̩ ˩  
ɖɯ˧ʑi˩hĩ˩ʈʂʰɯ˩dʑo˩	ɖ ɯ ˧ ʑ i ˩ h ĩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
ɖɯ˧ʑi˩lɑ˩	ɖ ɯ ˧ ʑ i ˩ l ɑ ˩  
ɖɯ˧ʑi˩pi˩tsɯ˩	ɖ ɯ ˧ ʑ i ˩ p i ˩ ts ɯ ˩  
ɖɯ˧ʑi˩ɖɯ˩ʑi˩dʑo˩	ɖ ɯ ˧ ʑ i ˩ ɖ ɯ ˩ ʑ i ˩ dʑ o ˩  
ɖɯ˧ʑi˩ɖɯ˩ʑi˩ki˩ni˩	ɖ ɯ ˧ ʑ i ˩ ɖ ɯ ˩ ʑ i ˩ k i ˩ n i ˩  
ɖɯ˩hĩ˥	ɖ ɯ ˩ h ĩ ˥  
ɖɯ˩hĩ˩bv̩˩˥	ɖ ɯ ˩ h ĩ ˩ b v̩ ˩˥  
ɖɯ˩hĩ˩ki˥dʑo˩	ɖ ɯ ˩ h ĩ ˩ k i ˥ dʑ o ˩  
ɖɯ˩hĩ˩qo˥	ɖ ɯ ˩ h ĩ ˩ q o ˥  
ɖɯ˩hĩ˩ɳɯ˥	ɖ ɯ ˩ h ĩ ˩ ɳ ɯ ˥  
ɖɯ˩hɑ̃˩dʑo˩	ɖ ɯ ˩ h ɑ̃ ˩ dʑ o ˩  
ɖɯ˩kv̩˩	ɖ ɯ ˩ k v̩ ˩  
ɖɯ˩kʰv̩˩	ɖ ɯ ˩ kʰ v̩ ˩  
ɖɯ˩kʰv̩˩dʑo˩	ɖ ɯ ˩ kʰ v̩ ˩ dʑ o ˩  
ɖɯ˩lo˥ɳɯ˩	ɖ ɯ ˩ l o ˥ ɳ ɯ ˩  
ɖɯ˩lo˧hĩ˧ʈʂʰɯ˧	ɖ ɯ ˩ l o ˧ h ĩ ˧ ʈʂʰ ɯ ˧  
ɖɯ˩lo˧ʈʂʰɯ˧	ɖ ɯ ˩ l o ˧ ʈʂʰ ɯ ˧  
ɖɯ˩mɑ˧ɬɑ˩tsʰo˩	ɖ ɯ ˩ m ɑ ˧ ɬ ɑ ˩ tsʰ o ˩  
ɖɯ˩so˩dʑo˩	ɖ ɯ ˩ s o ˩ dʑ o ˩  
ɖɯ˩zo˥	ɖ ɯ ˩ z o ˥  
ɖɯ˩zo˩	ɖ ɯ ˩ z o ˩  
ɖɯ˩ɖʐɯ˧	ɖ ɯ ˩ ɖʐ ɯ ˧  
ɖɯ˩ɲi˥mæ˩	ɖ ɯ ˩ ɲ i ˥ m æ ˩  
ɖɯ˩ɲi˩kv̩˩tsɯ˩	ɖ ɯ ˩ ɲ i ˩ k v̩ ˩ ts ɯ ˩  
ɖɯ˩ɲi˩tsɯ˩	ɖ ɯ ˩ ɲ i ˩ ts ɯ ˩  
ɖɯ˩ɲi˩tsɯ˩mv̩˩	ɖ ɯ ˩ ɲ i ˩ ts ɯ ˩ m v̩ ˩  
ɖɯ˩ʈʂɤ˩kv̩˥tsɯ˩	ɖ ɯ ˩ ʈʂ ɤ ˩ k v̩ ˥ ts ɯ ˩  
ɖɯ˩ʝi˩	ɖ ɯ ˩ ʝ i ˩  
ɖɯ˩˥	ɖ ɯ ˩˥  
ɖʐe˧ki˧	ɖʐ e ˧ k i ˧  
ɖʐo˩	ɖʐ o ˩  
ɖʐv	ɖʐ v  
ɖʐv̩˧nɑ˥mi˩gi˩ɳɯ˩	ɖʐ v̩ ˧ n ɑ ˥ m i ˩ g i ˩ ɳ ɯ ˩  
ɖʐv̩˧nɑ˥mi˩ʁæ˩ʈv̩˩ni˩zo˩	ɖʐ v̩ ˧ n ɑ ˥ m i ˩ ʁ æ ˩ ʈ v̩ ˩ n i ˩ z o ˩  
ɖʐv̩˧qɑ˧	ɖʐ v̩ ˧ q ɑ ˧  
ɖʐv̩˧ɳɯ˧	ɖʐ v̩ ˧ ɳ ɯ ˧  
ɖʐv̩˧ɻæ˩	ɖʐ v̩ ˧ ɻ æ ˩  
ɖʐv̩˧ʈʂʰɯ˧	ɖʐ v̩ ˧ ʈʂʰ ɯ ˧  
ɖʐv̩˧ʐv̩˧ɖʐv̩˧mi˧dʑo˩	ɖʐ v̩ ˧ ʐ v̩ ˧ ɖʐ v̩ ˧ m i ˧ dʑ o ˩  
ɖʐwæ˧ɖʐwæ˥	ɖʐ wæ ˧ ɖʐ wæ ˥  
ɖʐæ˧	ɖʐ æ ˧  
ɖʐɤ˧	ɖʐ ɤ ˧  
ɖʐɤ˧hɯ˧ɲi˥tsɯ˩	ɖʐ ɤ ˧ h ɯ ˧ ɲ i ˥ ts ɯ ˩  
ɖʐɤ˧˥	ɖʐ ɤ ˧˥  
ɖʐɤ˩bi˩ze˩	ɖʐ ɤ ˩ b i ˩ z e ˩  
ɖʐɤ˩ɖʐɤ˧˥	ɖʐ ɤ ˩ ɖʐ ɤ ˧˥  
ɖʐɯ˥ɖʐɯ˩	ɖʐ ɯ ˥ ɖʐ ɯ ˩  
ɖʐɯ˩kʰɤ˥	ɖʐ ɯ ˩ kʰ ɤ ˥  
ɖʐɯ˩kʰɤ˥qo˩	ɖʐ ɯ ˩ kʰ ɤ ˥ q o ˩  
ə˥bi˩	ə ˥ b i ˩  
ə˧	ə ˧  
ə˧dzɤ˥	ə ˧ dz ɤ ˥  
ə˧dzɤ˧dzɤ˥	ə ˧ dz ɤ ˧ dz ɤ ˥  
ə˧dzɤ˧le˧tsɤ˧kv̩˧˥	ə ˧ dz ɤ ˧ l e ˧ ts ɤ ˧ k v̩ ˧˥  
ə˧dɑ˥ki˩	ə ˧ d ɑ ˥ k i ˩  
ə˧dɑ˧ə˧mi˧ɻæ˧ɳɯ˥	ə ˧ d ɑ ˧ ə ˧ m i ˧ ɻ æ ˧ ɳ ɯ ˥  
ə˧dɑ˧ɻ̍˧ɳɯ˥	ə ˧ d ɑ ˧ ɻ̍ ˧ ɳ ɯ ˥  
ə˧hĩ˥	ə ˧ h ĩ ˥  
ə˧lɑ˧	ə ˧ l ɑ ˧  
ə˧lɑ˧ʁwɤ˧hĩ˧	ə ˧ l ɑ ˧ ʁ wɤ ˧ h ĩ ˧  
ə˧mi˧dʑo˥	ə ˧ m i ˧ dʑ o ˥  
ə˧mi˧gi˧˥	ə ˧ m i ˧ g i ˧˥  
ə˧mi˧ki˧ʈʂʰɯ˧	ə ˧ m i ˧ k i ˧ ʈʂʰ ɯ ˧  
ə˧mi˧mv̩˩	ə ˧ m i ˧ m v̩ ˩  
ə˧mi˧qv̩˧ʈʂæ˧	ə ˧ m i ˧ q v̩ ˧ ʈʂ æ ˧  
ə˧mi˧ɖɯ˩	ə ˧ m i ˧ ɖ ɯ ˩  
ə˧mi˧ɻæ˩bv̩˩	ə ˧ m i ˧ ɻ æ ˩ b v̩ ˩  
ə˧mi˧ʁæ˧ʈv̩˥	ə ˧ m i ˧ ʁ æ ˧ ʈ v̩ ˥  
ə˧mi˧ʈʂʰɯ˧	ə ˧ m i ˧ ʈʂʰ ɯ ˧  
ə˧mmm…	ə ˧ mmm…  
ə˧mv̩˥	ə ˧ m v̩ ˥  
ə˧mv̩˥tɕi˩hĩ˩	ə ˧ m v̩ ˥ tɕ i ˩ h ĩ ˩  
ə˧mv̩˧gi˥zɯ˩ni˩	ə ˧ m v̩ ˧ g i ˥ z ɯ ˩ n i ˩  
ə˧mv̩˧ɳɯ˥	ə ˧ m v̩ ˧ ɳ ɯ ˥  
ə˧mv̩˩dʑo˩	ə ˧ m v̩ ˩ dʑ o ˩  
ə˧mv̩˩go	ə ˧ m v̩ ˩ g o  
ə˧mv̩˩ɳɯ˩dʑo˩	ə ˧ m v̩ ˩ ɳ ɯ ˩ dʑ o ˩  
ə˧mv̩˩ʈʂʰɯ˩	ə ˧ m v̩ ˩ ʈʂʰ ɯ ˩  
ə˧mɑ˧ki˩	ə ˧ m ɑ ˧ k i ˩  
ə˧mɑ˧qɑ˧	ə ˧ m ɑ ˧ q ɑ ˧  
ə˧pʰv̩˧lɑ˧	ə ˧ pʰ v̩ ˧ l ɑ ˧  
ə˧pʰv̩˧ʈæ˧bɤ˧	ə ˧ pʰ v̩ ˧ ʈ æ ˧ b ɤ ˧  
ə˧si˧bv̩˧	ə ˧ s i ˧ b v̩ ˧  
ə˧si˧ɻæ˩	ə ˧ s i ˧ ɻ æ ˩  
ə˧sɯ˩kv̩˩ki˩	ə ˧ s ɯ ˩ k v̩ ˩ k i ˩  
ə˧ti˥dzi˩pi˩	ə ˧ t i ˥ dz i ˩ p i ˩  
ə˧ti˧bɑ˧lɑ˥	ə ˧ t i ˧ b ɑ ˧ l ɑ ˥  
ə˧ti˧dʑɯ˩ki˩	ə ˧ t i ˧ dʑ ɯ ˩ k i ˩  
ə˧tse˧ɲi˥hɯ˩	ə ˧ ts e ˧ ɲ i ˥ h ɯ ˩  
ə˧tse˧ʝi˧	ə ˧ ts e ˧ ʝ i ˧  
ə˧tse˧ʝi˧zo˥	ə ˧ ts e ˧ ʝ i ˧ z o ˥  
ə˧tse˧ʝi˧ɲi˥hɯ˩hɯ˩	ə ˧ ts e ˧ ʝ i ˧ ɲ i ˥ h ɯ ˩ h ɯ ˩  
ə˧tso˧ni˩	ə ˧ ts o ˧ n i ˩  
ə˧tsɯ˧	ə ˧ ts ɯ ˧  
ə˧v̩˧tɕi˥	ə ˧ v̩ ˧ tɕ i ˥  
ə˧v̩˧ɖɯ˧˥	ə ˧ v̩ ˧ ɖ ɯ ˧˥  
ə˧v̩˧ɻæ˥	ə ˧ v̩ ˧ ɻ æ ˥  
ə˧v̩˧ɻ̍˥dʑo˩	ə ˧ v̩ ˧ ɻ̍ ˥ dʑ o ˩  
ə˧v̩˧ʈʂʰɯ˧	ə ˧ v̩ ˧ ʈʂʰ ɯ ˧  
ə˧zɯ	ə ˧ z ɯ  
ə˧zɯ˩mv̩˩lɑ˩	ə ˧ z ɯ ˩ m v̩ ˩ l ɑ ˩  
ə˧zɯ˩ɖɯ	ə ˧ z ɯ ˩ ɖ ɯ  
ə˧ɲi˥lɑ˩	ə ˧ ɲ i ˥ l ɑ ˩  
ə˧ʂɯ˧ɲi˥	ə ˧ ʂ ɯ ˧ ɲ i ˥  
ə˧ʑi˧bv̩˧	ə ˧ ʑ i ˧ b v̩ ˧  
ə˧ʑi˧mmm…no˧	ə ˧ ʑ i ˧ mmm… n o ˧  
ə˧ʑi˧mo˥ɻæ˩	ə ˧ ʑ i ˧ m o ˥ ɻ æ ˩  
ə˧ʑi˧no˧sɯ˧kv̩˥ɳɯ˩	ə ˧ ʑ i ˧ n o ˧ s ɯ ˧ k v̩ ˥ ɳ ɯ ˩  
ə˧ʑi˧zo˧mv̩˥	ə ˧ ʑ i ˧ z o ˧ m v̩ ˥  
ə˧ʑi˧ə˧pʰv̩˧˥	ə ˧ ʑ i ˧ ə ˧ pʰ v̩ ˧˥  
ə˧ʑi˧ɻæ˥	ə ˧ ʑ i ˧ ɻ æ ˥  
ə˧ʝi	ə ˧ ʝ i  
ə˧ʝi˥dʑo˩	ə ˧ ʝ i ˥ dʑ o ˩  
ə˧ʝi˧	ə ˧ ʝ i ˧  
ə˧ʝi˧tsʰi˧ʝi˧bv̩˧ni˧˥	ə ˧ ʝ i ˧ tsʰ i ˧ ʝ i ˧ b v̩ ˧ n i ˧˥  
ə˧ʝi˧tsʰi˧ʝi˧ne˧˥	ə ˧ ʝ i ˧ tsʰ i ˧ ʝ i ˧ n e ˧˥  
ə˧ʝi˧tsʰi˧ʝi˧ni˧˥	ə ˧ ʝ i ˧ tsʰ i ˧ ʝ i ˧ n i ˧˥  
ə˧ʝi˧tsʰi˧ʝi˧se˥	ə ˧ ʝ i ˧ tsʰ i ˧ ʝ i ˧ s e ˥  
ə˧ʝi˧ʂ	ə ˧ ʝ i ˧ ʂ  
ə˧ʝi˧ʂɯ˥ʑi˩	ə ˧ ʝ i ˧ ʂ ɯ ˥ ʑ i ˩  
ə˧ʝi˧ʂɯ˥ʝi˩se˩	ə ˧ ʝ i ˧ ʂ ɯ ˥ ʝ i ˩ s e ˩  
ə˧ʝi˧ʂɯ˥ʝi˩ə˧ʝi˧ʂɯ˥ʝi˩	ə ˧ ʝ i ˧ ʂ ɯ ˥ ʝ i ˩ ə ˧ ʝ i ˧ ʂ ɯ ˥ ʝ i ˩  
ə˩bi˩	ə ˩ b i ˩  
ə˩do˩˥	ə ˩ d o ˩˥  
ə˩dɑ˩	ə ˩ d ɑ ˩  
ə˩dʑo˧	ə ˩ dʑ o ˧  
ə˩gɤ˩	ə ˩ g ɤ ˩  
ə˩hɯ˩	ə ˩ h ɯ ˩  
ə˩kʰɯ˩bv̩˥	ə ˩ kʰ ɯ ˩ b v̩ ˥  
ə˩kʰɯ˩pi˥	ə ˩ kʰ ɯ ˩ p i ˥  
ə˩kʰɯ˩pi˥zo˩	ə ˩ kʰ ɯ ˩ p i ˥ z o ˩  
ə˩kʰɯ˩ʈʂʰɯ˥	ə ˩ kʰ ɯ ˩ ʈʂʰ ɯ ˥  
ə˩ljɤ˩hæ̃˩ʂɯ˥mo˩pi˩	ə ˩ l jɤ ˩ h æ̃ ˩ ʂ ɯ ˥ m o ˩ p i ˩  
ə˩ljɤ˩hæ̃˩ʂɯ˥mo˩pi˩hĩ˩	ə ˩ l jɤ ˩ h æ̃ ˩ ʂ ɯ ˥ m o ˩ p i ˩ h ĩ ˩  
ə˩ljɤ˩hæ̃˩ʂɯ˥mo˩ʈʂʰɯ˩	ə ˩ l jɤ ˩ h æ̃ ˩ ʂ ɯ ˥ m o ˩ ʈʂʰ ɯ ˩  
ə˩ljɤ˩hæ̃˩ʂɯ˥mo˩ʈʂʰɯ˩dʑo˩	ə ˩ l jɤ ˩ h æ̃ ˩ ʂ ɯ ˥ m o ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
ə˩mi˩	ə ˩ m i ˩  
