tɕe	t ɕ e
tɤzrɤmpɕɤrnɯ	t ɤ z r ɤ m p ɕ ɤ r n ɯ
tɤŋkenɯ	t ɤ ŋ k e n ɯ
tɤɕ	t ɤ ɕ
tɤɕiqaj	t ɤ ɕ i q a j
tɤɕke	t ɤ ɕ k e
tɤɕthɯz	t ɤ ɕ t h ɯ z
tɤɣinɯ	t ɤ ɣ i n ɯ
tɤɣle	t ɤ ɣ l e
tɤɣɤtshoza	t ɤ ɣ ɤ t s h o z a
tɤɣɤtuta	t ɤ ɣ ɤ t u t a
tɤɣɤɕqali	t ɤ ɣ ɤ ɕ q a l i
tɤɣɯrɯrɯz	t ɤ ɣ ɯ r ɯ r ɯ z
tɤɬoʁa	t ɤ ɬ o ʁ a
tɤɲɟata	t ɤ ɲ ɟ a t a
tɤʁa	t ɤ ʁ a
tɤʁjoʁ	t ɤ ʁ j o ʁ
tɤʁndɯnɯ	t ɤ ʁ n d ɯ n ɯ
tɤʑandʑi	t ɤ ʑ a n d ʑ i
tɤʑata	t ɤ ʑ a t a
tɤʑŋganɯ	t ɤ ʑ ŋ g a n ɯ
tɤʑɣɤfkɯfka	t ɤ ʑ ɣ ɤ f k ɯ f k a
tɤʑɣɤfsraŋ	t ɤ ʑ ɣ ɤ f s r a ŋ
tɤʑɣɤsɤri	t ɤ ʑ ɣ ɤ s ɤ r i
tɤʑɣɤɕɯfkanɯ	t ɤ ʑ ɣ ɤ ɕ ɯ f k a n ɯ
tɤʑɣɤɣɤʑo	t ɤ ʑ ɣ ɤ ɣ ɤ ʑ o
tɤ́wɣfsraŋanɯ	t ɤ ́ w ɣ f s r a ŋ a n ɯ
tɤ́wɣndoa	t ɤ ́ w ɣ n d o a
tɤ́wɣndzanɯ	t ɤ ́ w ɣ n d z a n ɯ
tɤ́wɣnɤtʂaβlaβ	t ɤ ́ w ɣ n ɤ t ʂ a β l a β
tɤ́wɣnɯrku	t ɤ ́ w ɣ n ɯ r k u
tɤ́wɣnɯtɕɤt	t ɤ ́ w ɣ n ɯ t ɕ ɤ t
tɤ́wɣnɯβzɯβzu	t ɤ ́ w ɣ n ɯ β z ɯ β z u
tɤ́wɣrku	t ɤ ́ w ɣ r k u
tɤ́wɣrtsinɯ	t ɤ ́ w ɣ r t s i n ɯ
tɤ́wɣrtsɯz	t ɤ ́ w ɣ r t s ɯ z
tɤ́wɣsɤla	t ɤ ́ w ɣ s ɤ l a
tɤ́wɣsɤwɯwumi	t ɤ ́ w ɣ s ɤ w ɯ w u m i
tɤ́wɣsɤwɯwumnɯ	t ɤ ́ w ɣ s ɤ w ɯ w u m n ɯ
tɤ́wɣsɯstua	t ɤ ́ w ɣ s ɯ s t u a
tɤ́wɣsɯxɕatanɯ	t ɤ ́ w ɣ s ɯ x ɕ a t a n ɯ
tɤ́wɣŋga	t ɤ ́ w ɣ ŋ g a
tɤ́wɣɕɯngonɯ	t ɤ ́ w ɣ ɕ ɯ n g o n ɯ
tɤ́wɣχtɯ	t ɤ ́ w ɣ χ t ɯ
tɤβzuta	t ɤ β z u t a
tɤβɣo	t ɤ β ɣ o
tɤχi	t ɤ χ i
tɤχti	t ɤ χ t i
tɤχtɯj	t ɤ χ t ɯ j
tɯaqurlenɯ	t ɯ a q u r l e n ɯ
tɯatɯɣ	t ɯ a t ɯ ɣ
tɯbeibei	t ɯ b e i b e i
tɯcifkɯm	t ɯ c i f k ɯ m
tɯcɯrqɯ	t ɯ c ɯ r q ɯ
tɯfkɯm	t ɯ f k ɯ m
tɯfsoz	t ɯ f s o z
tɯfsoʁ	t ɯ f s o ʁ
tɯftɕar	t ɯ f t ɕ a r
tɯjaʁfkɯm	t ɯ j a ʁ f k ɯ m
tɯjaʁmundzoʁ	t ɯ j a ʁ m u n d z o ʁ
tɯjaʁŋɤn	t ɯ j a ʁ ŋ ɤ n
tɯjmŋo	t ɯ j m ŋ o
tɯjpɣom	t ɯ j p ɣ o m
tɯjru	t ɯ j r u
tɯjɯɣ	t ɯ j ɯ ɣ
tɯkhamu	t ɯ k h a m u
tɯkhroŋkhroŋ	t ɯ k h r o ŋ k h r o ŋ
tɯkhɤftsɯɣ	t ɯ k h ɤ f t s ɯ ɣ
tɯkhɤrkɯ	t ɯ k h ɤ r k ɯ
tɯkrimgo	t ɯ k r i m g o
tɯkuxtɕo	t ɯ k u x t ɕ o
tɯkuŋa	t ɯ k u ŋ a
tɯkɤndzɤtshi	t ɯ k ɤ n d z ɤ t s h i
tɯkɤnɤma	t ɯ k ɤ n ɤ m a
tɯkɤnɯmɟa	t ɯ k ɤ n ɯ m ɟ a
tɯkɤrga	t ɯ k ɤ r g a
tɯkɤta	t ɯ k ɤ t a
tɯkɤtaʁ	t ɯ k ɤ t a ʁ
tɯkɤtshi	t ɯ k ɤ t s h i
tɯkɯmtɕhɯ	t ɯ k ɯ m t ɕ h ɯ
tɯkɯɕɯɣmu	t ɯ k ɯ ɕ ɯ ɣ m u
tɯkɯβdɤsqi	t ɯ k ɯ β d ɤ s q i
tɯlaz	t ɯ l a z
tɯlaχtɕha	t ɯ l a χ t ɕ h a
tɯlʁɤtɕɯ	t ɯ l ʁ ɤ t ɕ ɯ
tɯma	t ɯ m a
tɯmaʁ	t ɯ m a ʁ
tɯmbaz	t ɯ m b a z
tɯmbrɯ	t ɯ m b r ɯ
tɯmga	t ɯ m g a
tɯmna	t ɯ m n a
tɯmnɤm	t ɯ m n ɤ m
tɯmnɯ	t ɯ m n ɯ
tɯmtso	t ɯ m t s o
tɯmtɤm	t ɯ m t ɤ m
tɯmɤkɤcha	t ɯ m ɤ k ɤ c h a
tɯmɤndzu	t ɯ m ɤ n d z u
tɯmɯm	t ɯ m ɯ m
tɯmɯnmu	t ɯ m ɯ n m u
tɯmɯnɤmkha	t ɯ m ɯ n ɤ m k h a
tɯmɯrkha	t ɯ m ɯ r k h a
tɯmɯɕoʁ	t ɯ m ɯ ɕ o ʁ
tɯmɯʁrɯm	t ɯ m ɯ ʁ r ɯ m
tɯmɲaʁndo	t ɯ m ɲ a ʁ n d o
tɯnaŋma	t ɯ n a ŋ m a
tɯndʐɯβ	t ɯ n d ʐ ɯ β
tɯndʑi	t ɯ n d ʑ i
tɯnɯqambɯmbjom	t ɯ n ɯ q a m b ɯ m b j o m
tɯnɯzdɯɣnɯ	t ɯ n ɯ z d ɯ ɣ n ɯ
tɯnɯɣɤme	t ɯ n ɯ ɣ ɤ m e
tɯpa	t ɯ p a
tɯpe	t ɯ p e
tɯphama	t ɯ p h a m a
tɯphaʁ	t ɯ p h a ʁ
tɯphu	t ɯ p h u
tɯphɤntsɯ	t ɯ p h ɤ n t s ɯ
tɯpɤloʁ	t ɯ p ɤ l o ʁ
tɯpɤr	t ɯ p ɤ r
tɯqa	t ɯ q a
tɯqarndɯm	t ɯ q a r n d ɯ m
tɯqhɤchu	t ɯ q h ɤ c h u
tɯrca	t ɯ r c a
tɯrgɤz	t ɯ r g ɤ z
tɯrkɤz	t ɯ r k ɤ z
tɯrmi	t ɯ r m i
tɯrnda	t ɯ r n d a
tɯrnɤjɯ	t ɯ r n ɤ j ɯ
tɯrom	t ɯ r o m
tɯrqoʁ	t ɯ r q o ʁ
tɯrtaʁ	t ɯ r t a ʁ
tɯrtilawa	t ɯ r t i l a w a
tɯrtshɤt	t ɯ r t s h ɤ t
tɯrtsot	t ɯ r t s o t
tɯrtsɤmkɯɣ	t ɯ r t s ɤ m k ɯ ɣ
tɯrŋgɯ	t ɯ r ŋ g ɯ
tɯrŋɤt	t ɯ r ŋ ɤ t
tɯrɟɤskhi	t ɯ r ɟ ɤ s k h i
tɯrɟɯtɕɯn	t ɯ r ɟ ɯ t ɕ ɯ n
tɯrɤ	t ɯ r ɤ
tɯrɤma	t ɯ r ɤ m a
tɯrɤsloʁ	t ɯ r ɤ s l o ʁ
tɯrɯndzɤtshi	t ɯ r ɯ n d z ɤ t s h i
tɯrʑaβ	t ɯ r ʑ a β
tɯscawa	t ɯ s c a w a
tɯscoʁ	t ɯ s c o ʁ
tɯsi	t ɯ s i
tɯskhrɯ	t ɯ s k h r ɯ
tɯspe	t ɯ s p e
tɯsraŋ	t ɯ s r a ŋ
tɯsroʁ	t ɯ s r o ʁ
tɯsrɯnloʁ	t ɯ s r ɯ n l o ʁ
tɯsrɯt	t ɯ s r ɯ t
tɯsŋia	t ɯ s ŋ i a
tɯsɤqɤt	t ɯ s ɤ q ɤ t
tɯsɤscit	t ɯ s ɤ s c i t
tɯsɤznɯmbjɯm	t ɯ s ɤ z n ɯ m b j ɯ m
tɯsɤɕke	t ɯ s ɤ ɕ k e
tɯsɤɕtar	t ɯ s ɤ ɕ t a r
tɯsɯ	t ɯ s ɯ
tɯsɯmpa	t ɯ s ɯ m p a
tɯsɲa	t ɯ s ɲ a
tɯtanɤmanɯ	t ɯ t a n ɤ m a n ɯ
tɯtatɕɤt	t ɯ t a t ɕ ɤ t
tɯtaŋga	t ɯ t a ŋ g a
tɯtaβzu	t ɯ t a β z u
tɯtaβzunɯ	t ɯ t a β z u n ɯ
tɯthu	t ɯ t h u
tɯtsa	t ɯ t s a
tɯtukɤfskɤr	t ɯ t u k ɤ f s k ɤ r
tɯtungɯt	t ɯ t u n g ɯ t
tɯturko	t ɯ t u r k o
tɯtɕhorzi	t ɯ t ɕ h o r z i
tɯtɤ	t ɯ t ɤ
tɯtɤari	t ɯ t ɤ a r i
tɯtɤfsea	t ɯ t ɤ f s e a
tɯtɤfsenɯ	t ɯ t ɤ f s e n ɯ
tɯtɤfskɤr	t ɯ t ɤ f s k ɤ r
tɯtɤjŋgɤɣ	t ɯ t ɤ j ŋ g ɤ ɣ
tɯtɤkhrɤz	t ɯ t ɤ k h r ɤ z
tɯtɤkɤtɯt	t ɯ t ɤ k ɤ t ɯ t
tɯtɤkɯpɯɣ	t ɯ t ɤ k ɯ p ɯ ɣ
tɯtɤkɯŋke	t ɯ t ɤ k ɯ ŋ k e
tɯtɤlɤβ	t ɯ t ɤ l ɤ β
tɯtɤnɤmata	t ɯ t ɤ n ɤ m a t a
tɯtɤstuta	t ɯ t ɤ s t u t a
tɯtɤtu	t ɯ t ɤ t u
tɯtɤtɯtɯt	t ɯ t ɤ t ɯ t ɯ t
tɯtɤtʂu	t ɯ t ɤ t ʂ u
tɯtɤwxtia	t ɯ t ɤ w x t i a
tɯtɤɕrɤz	t ɯ t ɤ ɕ r ɤ z
tɯtɤɣmbaj	t ɯ t ɤ ɣ m b a j
tɯtɤ́wɣβzu	t ɯ t ɤ ́ w ɣ β z u
tɯtɯci	t ɯ t ɯ c i
tɯtɯkha	t ɯ t ɯ k h a
tɯtɯkho	t ɯ t ɯ k h o
tɯtɯndo	t ɯ t ɯ n d o
tɯtɯpɕirtɕhaʁ	t ɯ t ɯ p ɕ i r t ɕ h a ʁ
tɯtɯtʂɯβ	t ɯ t ɯ t ʂ ɯ β
tɯtɯŋu	t ɯ t ɯ ŋ u
tɯtɯɕrɤz	t ɯ t ɯ ɕ r ɤ z
tɯtɯɲur	t ɯ t ɯ ɲ u r
tɯwɣrum	t ɯ w ɣ r u m
tɯwɯ	t ɯ w ɯ
tɯxpalɤskɤr	t ɯ x p a l ɤ s k ɤ r
tɯxsoz	t ɯ x s o z
tɯxtsɤxtɕɤr	t ɯ x t s ɤ x t ɕ ɤ r
tɯxueya	t ɯ x u e y a
tɯzda	t ɯ z d a
tɯŋguraʁ	t ɯ ŋ g u r a ʁ
tɯŋgɯ	t ɯ ŋ g ɯ
tɯŋgɯl	t ɯ ŋ g ɯ l
tɯŋgɯŋgɯ	t ɯ ŋ g ɯ ŋ g ɯ
tɯɕendʑi	t ɯ ɕ e n d ʑ i
tɯɕkat	t ɯ ɕ k a t
tɯɕkɯttɕi	t ɯ ɕ k ɯ t t ɕ i
tɯɕqhlɤt	t ɯ ɕ q h l ɤ t
tɯɕti	t ɯ ɕ t i
tɯɕtʂi	t ɯ ɕ t ʂ i
tɯɕtʂo	t ɯ ɕ t ʂ o
tɯɣmba	t ɯ ɣ m b a
tɯɣnɤsqi	t ɯ ɣ n ɤ s q i
tɯɣnɤsqɤɟom	t ɯ ɣ n ɤ s q ɤ ɟ o m
tɯɣɲaʁ	t ɯ ɣ ɲ a ʁ
tɯɬoʁ	t ɯ ɬ o ʁ
tɯɬɤm	t ɯ ɬ ɤ m
tɯɯphaʁ	t ɯ ɯ p h a ʁ
tɯɲɟɤt	t ɯ ɲ ɟ ɤ t
tɯɲɤm	t ɯ ɲ ɤ m
tɯʁar	t ɯ ʁ a r
tɯʁaʁ	t ɯ ʁ a ʁ
tɯʁjoʁ	t ɯ ʁ j o ʁ
tɯʑŋgu	t ɯ ʑ ŋ g u
tɯʑɣɤɕɯɣmu	t ɯ ʑ ɣ ɤ ɕ ɯ ɣ m u
tɯʑɤra	t ɯ ʑ ɤ r a
tɯʑɤsɯso	t ɯ ʑ ɤ s ɯ s o
tɯʑɤɣ	t ɯ ʑ ɤ ɣ
tɯʑɤɣɯ	t ɯ ʑ ɤ ɣ ɯ
tɯ́wɣfstɯn	t ɯ ́ w ɣ f s t ɯ n
tɯ́wɣno	t ɯ ́ w ɣ n o
tɯ́wɣnɤkhɤzŋganɯ	t ɯ ́ w ɣ n ɤ k h ɤ z ŋ g a n ɯ
tɯ́wɣnɤzda	t ɯ ́ w ɣ n ɤ z d a
tɯ́wɣnɤzdanɯ	t ɯ ́ w ɣ n ɤ z d a n ɯ
tɯ́wɣnɯzdɯɣ	t ɯ ́ w ɣ n ɯ z d ɯ ɣ
tɯ́wɣsat	t ɯ ́ w ɣ s a t
tɯ́wɣstu	t ɯ ́ w ɣ s t u
tɯ́wɣsɯtsɯm	t ɯ ́ w ɣ s ɯ t s ɯ m
tɯ́wɣsɯxɕɤt	t ɯ ́ w ɣ s ɯ x ɕ ɤ t
tɯ́wɣsɯɣe	t ɯ ́ w ɣ s ɯ ɣ e
tɯ́wɣznɤʁaʁ	t ɯ ́ w ɣ z n ɤ ʁ a ʁ
tɯβ	t ɯ β
tɯβra	t ɯ β r a
tɯβzɟɯr	t ɯ β z ɟ ɯ r
tɯβzɯr	t ɯ β z ɯ r
tɯβɣo	t ɯ β ɣ o
tʂaqhu	t ʂ a q h u
tʂhɤzwa	t ʂ h ɤ z w a
tʂhɯz	t ʂ h ɯ z
tʂoma	t ʂ o m a
tʂɤm	t ʂ ɤ m
tʂɯtʂu	t ʂ ɯ t ʂ u
uma	u m a
vrvr	v r v r
wa	w a
wanfeng	w a n f e n g
wannianqing	w a n n i a n q i n g
wazi	w a z i
waŋldɤn	w a ŋ l d ɤ n
weilaigong	w e i l a i g o n g
wenxiao	w e n x i a o
wenzi	w e n z i
woa	w o a
woho	w o h o
woniu	w o n i u
wortɕ	w o r t ɕ
wortɕhiʑo	w o r t ɕ h i ʑ o
wozɤr	w o z ɤ r
woχco	w o χ c o
wubaohu	w u b a o h u
wubianxing	w u b i a n x i n g
wudɯŋ	w u d ɯ ŋ
wufenmi	w u f e n m i
wugui	w u g u i
wulimi	w u l i m i
wulou	w u l o u
wum	w u m
wushi	w u s h i
wushisui	w u s h i s u i
wutenggua	w u t e n g g u a
wutengua	w u t e n g u a
wuxing	w u x i n g
wuya	w u y a
wxtia	w x t i a
wxtinɯ	w x t i n ɯ
wɣlɤt	w ɣ l ɤ t
wɤʑu	w ɤ ʑ u
wɯtɕhɯtɕhɯ	w ɯ t ɕ h ɯ t ɕ h ɯ
xchuxchu	x c h u x c h u
xi	x i
xiake	x i a k e
xiancheng	x i a n c h e n g
xiangrikui	x i a n g r i k u i
xianzhong	x i a n z h o n g
xiao	x i a o
xiaobaicai	x i a o b a i c a i
xiaoshagua	x i a o s h a g u a
xiaoyan	x i a o y a n
xiaoyazi	x i a o y a z i
xiaoyida	x i a o y i d a
xibing	x i b i n g
xifan	x i f a n
xigua	x i g u a
xin	x i n
xingerboli	x i n g e r b o l i
xingwei	x i n g w e i
xingzheng	x i n g z h e n g
xinjiang	x i n j i a n g
xinniang	x i n n i a n g
xinpinzhong	x i n p i n z h o n g
xinshehui	x i n s h e h u i
xiongdan	x i o n g d a n
xishuai	x i s h u a i
xoŋnɤxoŋ	x o ŋ n ɤ x o ŋ
xoŋxoŋ	x o ŋ x o ŋ
xta	x t a
xtsu	x t s u
xtsɤkɤŋgɯ	x t s ɤ k ɤ ŋ g ɯ
xtsɤrtɯm	x t s ɤ r t ɯ m
xtsɤɕna	x t s ɤ ɕ n a
xtɕhɯt	x t ɕ h ɯ t
xtɕindʑi	x t ɕ i n d ʑ i
xtɕɯxtɕi	x t ɕ ɯ x t ɕ i
xtɤβxtɤβ	x t ɤ β x t ɤ β
xtɯrkɯ	x t ɯ r k ɯ
xtʂoŋxtʂoŋ	x t ʂ o ŋ x t ʂ o ŋ
xue	x u e
xuechang	x u e c h a n g
xuesheng	x u e s h e n g
xueyuan	x u e y u a n
xuezhuzi	x u e z h u z i
xunlian	x u n l i a n
xusheng	x u s h e n g
xxx	x x x
xɕajɲaʁ	x ɕ a j ɲ a ʁ
xɕo	x ɕ o
xɕɤɣrum	x ɕ ɤ ɣ r u m
xɤlxɤl	x ɤ l x ɤ l
xɯrinɤxɯri	x ɯ r i n ɤ x ɯ r i
yangcong	y a n g c o n g
yangliujun	y a n g l i u j u n
yangluobo	y a n g l u o b o
yanji	y a n j i
yanyang	y a n y a n g
yashua	y a s h u a
yazhou	y a z h o u
yaŋwawa	y a ŋ w a w a
yebocai	y e b o c a i
yelv	y e l v
yetiane	y e t i a n e
yewai	y e w a i
yibai	y i b a i
yicun	y i c u n
yidonggongsi	y i d o n g g o n g s i
yier	y i e r
yifuhua	y i f u h u a
yigedadui	y i g e d a d u i
yigeyue	y i g e y u e
yigongfeng	y i g o n g f e n g
yiji	y i j i
yijin	y i j i n
yiliangge	y i l i a n g g e
yilimi	y i l i m i
yimin	y i m i n
yimu	y i m u
yincaohua	y i n c a o h u a
ying	y i n g
yinger	y i n g e r
yinggai	y i n g g a i
yingsu	y i n g s u
yingtao	y i n g t a o
yingtaoshu	y i n g t a o s h u
yingwu	y i n g w u
yinhuayuan	y i n h u a y u a n
yinhuoxian	y i n h u o x i a n
yinian	y i n i a n
yinianji	y i n i a n j i
yinyue	y i n y u e
yiqian	y i q i a n
yixian	y i x i a n
yixueshang	y i x u e s h a n g
yiyuan	y i y u a n
yong	y o n g
youchong	y o u c h o n g
youdianju	y o u d i a n j u
youji	y o u j i
yuantiao	y u a n t i a o
yuanzi	y u a n z i
yulegong	y u l e g o n g
yumao	y u m a o
yumi	y u m i
yunnan	y u n n a n
yunqi	y u n q i
yuyangpin	y u y a n g p i n
yuyi	y u y i
zajiu	z a j i u
zangyao	z a n g y a o
zaoshu	z a o s h u
zdoŋbu	z d o ŋ b u
zdɯrzdɯr	z d ɯ r z d ɯ r
zdɯxthɯɣ	z d ɯ x t h ɯ ɣ
zdɯzdu	z d ɯ z d u
zdɯɣ	z d ɯ ɣ
zgoco	z g o c o
zgrɤlmɤrcit	z g r ɤ l m ɤ r c i t
zgɤr	z g ɤ r
zhanerfan	z h a n e r f a n
zhang	z h a n g
zhangerfan	z h a n g e r f a n
zhanglang	z h a n g l a n g
zhangluchang	z h a n g l u c h a n g
zhangzijun	z h a n g z i j u n
zhanzi	z h a n z i
zhengban	z h e n g b a n
zhengfu	z h e n g f u
zhengqi	z h e n g q i
zhengxianbao	z h e n g x i a n b a o
zhengzhuang	z h e n g z h u a n g
zhenzhu	z h e n z h u
zheren	z h e r e n
zhi	z h i
zhishi	z h i s h i
zhiwu	z h i w u
zhongdian	z h o n g d i a n
zhongdu	z h o n g d u
zhongxin	z h o n g x i n
zhongyao	z h o n g y a o
zhongzhong	z h o n g z h o n g
zhoupa	z h o u p a
zhousi	z h o u s i
zhuanjia	z h u a n j i a
zhufu	z h u f u
zilan	z i l a n
zixingche	z i x i n g c h e
zjaɣɤrɤtnɯ	z j a ɣ ɤ r ɤ t n ɯ
zjofskɤr	z j o f s k ɤ r
zjoqru	z j o q r u
zjoru	z j o r u
zjorunɯ	z j o r u n ɯ
zjosɯlɤt	z j o s ɯ l ɤ t
zjosɯrunɯ	z j o s ɯ r u n ɯ
zjota	z j o t a
zjotanɯ	z j o t a n ɯ
zjozɣɤrɤtnɯ	z j o z ɣ ɤ r ɤ t n ɯ
zjozɣɯtndʑi	z j o z ɣ ɯ t n d ʑ i
zjoɕenɯ	z j o ɕ e n ɯ
zjoβɟinɯ	z j o β ɟ i n ɯ
zju	z j u
zjukɤβde	z j u k ɤ β d e
zjunɤɕthɯɕthɯz	z j u n ɤ ɕ t h ɯ ɕ t h ɯ z
zjunɯcia	z j u n ɯ c i a
zjusɯmtshɤt	z j u s ɯ m t s h ɤ t
zjutɯtɕɤt	z j u t ɯ t ɕ ɤ t
zjuɕe	z j u ɕ e
zjúwɣru	z j u ́ w ɣ r u
zjuβɟinɯ	z j u β ɟ i n ɯ
zjɤnɤrɯra	z j ɤ n ɤ r ɯ r a
zjɤre	z j ɤ r e
zjɤrtoʁ	z j ɤ r t o ʁ
zjɤru	z j ɤ r u
zjɤrunɯ	z j ɤ r u n ɯ
zjɤsɯɣe	z j ɤ s ɯ ɣ e
zjɤɕe	z j ɤ ɕ e
zjɤβɟi	z j ɤ β ɟ i
zmaqhe	z m a q h e
znɤ	z n ɤ
znɯnatɕi	z n ɯ n a t ɕ i
zrɤre	z r ɤ r e
zrɤʑi	z r ɤ ʑ i
zrɯβɟu	z r ɯ β ɟ u
zuo	z u o
zuzubeibei	z u z u b e i b e i
zwaʁnɤzwaʁ	z w a ʁ n ɤ z w a ʁ
zɟraŋzɟraŋ	z ɟ r a ŋ z ɟ r a ŋ
zɟɤɣ	z ɟ ɤ ɣ
zɟɤɣzɟɤɣ	z ɟ ɤ ɣ z ɟ ɤ ɣ
zɣɤmbu	z ɣ ɤ m b u
zɤjzɤj	z ɤ j z ɤ j
zɯmzɯm	z ɯ m z ɯ m
zɯrzɯrzɯr	z ɯ r z ɯ r z ɯ r
zɯxtɕhɤl	z ɯ x t ɕ h ɤ l
zɯzri	z ɯ z r i
zɲɟɤsɯsi	z ɲ ɟ ɤ s ɯ s i
zɲɤnɤrɯra	z ɲ ɤ n ɤ r ɯ r a
zɲɤnɯɕar	z ɲ ɤ n ɯ ɕ a r
zɲɤphɯt	z ɲ ɤ p h ɯ t
zɲɤsqɤr	z ɲ ɤ s q ɤ r
zɲɤsɤnɯsɯkhonɯ	z ɲ ɤ s ɤ n ɯ s ɯ k h o n ɯ
zɲɤsɤsɯɣsɯɣ	z ɲ ɤ s ɤ s ɯ ɣ s ɯ ɣ
zɲɤsɯɕar	z ɲ ɤ s ɯ ɕ a r
zɲɤsɯɕarnɯ	z ɲ ɤ s ɯ ɕ a r n ɯ
zɲɤtɕɤt	z ɲ ɤ t ɕ ɤ t
zɲɯkɤɕar	z ɲ ɯ k ɤ ɕ a r
zɲɯlɤt	z ɲ ɯ l ɤ t
zɲɯlɤɣ	z ɲ ɯ l ɤ ɣ
zɲɯlɤɣnɯ	z ɲ ɯ l ɤ ɣ n ɯ
zɲɯntsɣe	z ɲ ɯ n t s ɣ e
zɲɯnɯphɯtnɯ	z ɲ ɯ n ɯ p h ɯ t n ɯ
zɲɯnɯɕara	z ɲ ɯ n ɯ ɕ a r a
zɲɯphɯt	z ɲ ɯ p h ɯ t
zɲɯrkunɯ	z ɲ ɯ r k u n ɯ
zɲɯsɤjti	z ɲ ɯ s ɤ j t i
zɲɯɕarandʑi	z ɲ ɯ ɕ a r a n d ʑ i
zɲɯ́wɣlɤɣ	z ɲ ɯ ́ w ɣ l ɤ ɣ
zɲɯ́wɣnɯɕar	z ɲ ɯ ́ w ɣ n ɯ ɕ a r
ŋgorli	ŋ g o r l i
ŋgriŋgri	ŋ g r i ŋ g r i
ŋgumdʑɯɣ	ŋ g u m d ʑ ɯ ɣ
ŋgɯ	ŋ g ɯ
ŋgɯsqɯrdoʁ	ŋ g ɯ s q ɯ r d o ʁ
ŋgɯɣ	ŋ g ɯ ɣ
ŋondɤt	ŋ o n d ɤ t
ŋotɕuŋondɤt	ŋ o t ɕ u ŋ o n d ɤ t
ŋotɕuŋɤdɤt	ŋ o t ɕ u ŋ ɤ d ɤ t
ŋotɕuŋɤndɤt	ŋ o t ɕ u ŋ ɤ n d ɤ t
ŋuɕɤ	ŋ u ɕ ɤ
ŋu，	ŋ u ，
ŋɤ	ŋ ɤ
ŋɤki	ŋ ɤ k i
ŋɯ	ŋ ɯ
ɕaŋ	ɕ a ŋ
ɕaŋpin	ɕ a ŋ p i n
ɕaŋpɕi	ɕ a ŋ p ɕ i
ɕaŋɯ	ɕ a ŋ ɯ
ɕaʁwɯ	ɕ a ʁ w ɯ
ɕchɯʑɣɤβdea	ɕ c h ɯ ʑ ɣ ɤ β d e a
ɕico	ɕ i c o
ɕikɯma	ɕ i k ɯ m a
ɕima	ɕ i m a
ɕkofskɤr	ɕ k o f s k ɤ r
ɕkokɤnbaʁci	ɕ k o k ɤ n b a ʁ c i
ɕkokɤnbaʁnɯ	ɕ k o k ɤ n b a ʁ n ɯ
ɕkondo	ɕ k o n d o
ɕkondʑɯ	ɕ k o n d ʑ ɯ
ɕkonɯpoʁ	ɕ k o n ɯ p o ʁ
ɕkonɯrŋgɯndʑi	ɕ k o n ɯ r ŋ g ɯ n d ʑ i
ɕkonɯrŋgɯnɯ	ɕ k o n ɯ r ŋ g ɯ n ɯ
ɕkorundʑi	ɕ k o r u n d ʑ i
ɕkorɤɕtʂɯ	ɕ k o r ɤ ɕ t ʂ ɯ
ɕkrɯɣnɤɕkrɯɣ	ɕ k r ɯ ɣ n ɤ ɕ k r ɯ ɣ
ɕkundzoʁ	ɕ k u n d z o ʁ
ɕkunɤrɟɯrɟɯɣa	ɕ k u n ɤ r ɟ ɯ r ɟ ɯ ɣ a
ɕkunɯrtɕanɯ	ɕ k u n ɯ r t ɕ a n ɯ
ɕkunɯrŋgɯ	ɕ k u n ɯ r ŋ g ɯ
ɕkunɯrɤʑi	ɕ k u n ɯ r ɤ ʑ i
ɕkunɯrɤʑia	ɕ k u n ɯ r ɤ ʑ i a
ɕkunɯrɤʑij	ɕ k u n ɯ r ɤ ʑ i j
ɕkunɯrɤʑinɯ	ɕ k u n ɯ r ɤ ʑ i n ɯ
ɕkurɟaʁnɯ	ɕ k u r ɟ a ʁ n ɯ
ɕkurɤʑinɯ	ɕ k u r ɤ ʑ i n ɯ
ɕkutanɯ	ɕ k u t a n ɯ
ɕkutɯm	ɕ k u t ɯ m
ɕkutɯɤmdzɯ	ɕ k u t ɯ ɤ m d z ɯ
ɕkúwɣrtoʁ	ɕ k u ́ w ɣ r t o ʁ
ɕkɤbɯ	ɕ k ɤ b ɯ
ɕkɤjwaʁ	ɕ k ɤ j w a ʁ
ɕkɤrnɤɕkɤr	ɕ k ɤ r n ɤ ɕ k ɤ r
ɕkɤrɯndʐi	ɕ k ɤ r ɯ n d ʐ i
ɕkɤtho	ɕ k ɤ t h o
ɕkɤtshoŋ	ɕ k ɤ t s h o ŋ
ɕkɤzoŋzoŋ	ɕ k ɤ z o ŋ z o ŋ
ɕkɯta	ɕ k ɯ t a
ɕlaʁnɤɕlaʁ	ɕ l a ʁ n ɤ ɕ l a ʁ
ɕna	ɕ n a
ɕnɤcɤpa	ɕ n ɤ c ɤ p a
ɕnɤcɤt	ɕ n ɤ c ɤ t
ɕnɤri	ɕ n ɤ r i
ɕnɤtoʁrɯ	ɕ n ɤ t o ʁ r ɯ
ɕnɤŋgrɯ	ɕ n ɤ ŋ g r ɯ
ɕomnaʁ	ɕ o m n a ʁ
ɕomndzrɯ	ɕ o m n d z r ɯ
ɕoŋphu	ɕ o ŋ p h u
ɕoŋthi	ɕ o ŋ t h i
